# NetHack-es bulk C translations: msgid<TAB>msgstr
# Format: one entry per line, tab-separated
# Lines starting with # are comments
%s smiles %s at your %sdisplaced image...	%s sonrie %s a tu %simagen desplazada...
%s%s!	¡%s%s!
%s.	%s.
%s doesn't seem to notice that %s gaze was reflected.	%s no parece notar que su mirada fue reflejada.
meet %s gaze.	encuentras la mirada de %s.
%s gaze makes you very sleepy...	la mirada de %s te da mucho sueno...
Gaze attack %d?	¡Ataque de mirada %d?
%s decides she'd like %s, and takes it.	%s decide que le gustaria tener %s y lo coge.
%s decides you'd look prettier wearing %s,	%s decide que estaria mejor que llevaras %s,
%s puts %s on your right %s.	%s te pone %s en tu %s derecho.
%s puts %s on your left %s.	%s te pone %s en tu %s izquierdo.
%s replaces %s with %s.	%s sustituye %s por %s.
%s %s%s.	%s %s%s.
%s seems to have enjoyed it more than you...	%s parece haberlo disfrutado mas que tu...
%s demands that you pay %s, but you refuse...	%s exige que pagues %s, pero te niegas...
%s takes off your %s.	%s te quita tu %s.
%s...	%s...
%s	%s
%s %s.	%s %s.
burn your %s.	quema tu %s.
This tastes %s.	Esto sabe %s.
This burns%s!	¡Esto quema%s!
%s with %s aura.	%s con aura %s.
%s %s wet.	%s %s mojado.
%s looks sound and hale again.	%s parece sano y robusto de nuevo.
%s looks unharmed.	%s parece ileso.
%s looks rather ill.	%s parece bastante enfermo.
%s briefly seems to be transparent.	%s parece brevemente transparente.
%s appears!	¡%s aparece!
%s %s in pain!	¡%s %s de dolor!
%s looks healthier.	%s parece mas sano.
%s rusts.	%s se oxida.
%s seems to be holding you.	%s parece estar sujetandote.
dip_into: where is potion?	dip_into: ¿donde esta la pocion?
%sThey explode!	¡%sExplotan!
%s %s %s with %s%s...	%s %s %s con %s%s...
%s %s %s around the edges.	%s %s %s por los bordes.
%s forms a coating on %s.	%s forma una capa sobre %s.
%s %s with an oily sheen.	%s %s con un brillo aceitoso.
%s %s oily.	%s %s aceitoso.
%s %s less %s.	%s %s menos %s.
%s %s full.	%s %s lleno.
fill %s with oil.	rellena %s con aceite.
multiply%s!	¡se multiplica%s!
%s multiplies%s!	¡%s se multiplica%s!
%s looks puzzled for a moment.	%s parece desconcertado por un momento.
%s appears in a %s of %s!	¡%s aparece en un %s de %s!
unaligned player?	¿jugador sin alineamiento?
%s appears before you.	%s aparece ante ti.
%s looks very angry.	%s parece muy enfadado.
%s says something.	%s dice algo.
%s demands %ld %s for safe passage.	%s exige %ld %s por un paso seguro.
%s seems to be demanding something.	%s parece estar exigiendo algo.
%s vanishes, laughing about cowardly mortals.	%s desaparece, riendose de los mortales cobardes.
%s scowls at you menacingly, then vanishes.	%s te mira amenazante, luego desaparece.
%s gets angry...	%s se enfada...
refuse.	rechazas.
give %s %ld %s.	dar %s %ld %s.
%s rebukes you, saying:	%s te reprende, diciendo:
%s hissing!	¡%s sisea!
unleash %s!	¡suelta a %s!
attract %s!	¡atrae a %s!
%s yells:	%s grita:
%s earnestly %s %s %s!	¡%s %s con fervor %s %s!
feel transparent.	te sientes transparente.
feel very self-conscious.	te sientes muy cohibido.
undergo a freakish metamorphosis!	¡sufre una metamorfosis extrania!
clanking from the pipes...	chasquidos de las tuberias...
bad direction in create_drawbridge	direccion erronea en create_drawbridge
%s crushed underneath the drawbridge.	%s aplastado bajo el puente levadizo.
%s crushed by the falling portcullis!	¡%s aplastado por la rejilla que cae!
tumble towards the closed portcullis!	¡caes rodando hacia la rejilla cerrada!
pass through it!	¡pasa a traves!
%s behind the drawbridge.	%s detras del puente levadizo.
%s from the bridge.	%s desde el puente.
chains rattling and gears turning.	cadenas repicando y engranajes girando.
smashing and crushing.	aplastando y triturando.
gears turning and chains rattling.	engranajes girando y cadenas repicando.
%s blown apart by flying debris.	%s destrozado por los escombros voladores.
%s mutters %s.	%s murmura %s.
sense a faint wave of psychic energy.	sientes una leve onda de energia psionica.
%s gets angry!	¡%s se enfada!
Finishing off %s...	Terminando con %s...
Restobjchn: error reading objchn.	Restobjchn: error leyendo objchn.
bad monster weapon restore	restauracion de arma de monstruo erronea
Restmonchn: error reading monchn.	Restmonchn: error leyendo monchn.
no old fruit?	¿no hay fruta antigua?
were not healthy enough to survive restoration.	no estaban lo bastante sanos para sobrevivir a la restauracion.
restgamestate: lost ball & chain	restgamestate: perdida la bola y cadena
Not a boulder?	¿No es una roca?
a%s splash.	un chapoteo %s.
find yourself on dry land again!	¡te encuentras de nuevo en tierra firme!
%s is %s!	¡%s esta %s!
%s tumble downwards.	%s cae rodando hacia abajo.
%s from the heat!	¡%s del calor!
drop %s down the drain.	deja caer %s por el desague.
Static electricity surrounds the sink.	La electricidad estatica rodea el fregadero.
loud noises coming from the drain.	ruidos fuertes vienen del desague.
You cannot %s %s you are wearing.	No puedes %s %s que llevas puesto.
You cannot %s %s welded to your %s.	No puedes %s %s soldado a tu %s.
drop %s into %s.	deja caer %s en %s.
%s instantly digested!	¡%s digerido al instante!
release %s.	suelta %s.
fly out of hiding.	sale volando de su escondite.
drop to the %s.	cae al %s.
Unspeakable cruelty and harm lurk down there.	Crueldad y dano indecibles acechan alli abajo.
were unable to fit %s.	no pudieron caber %s.
level arrival collision: %s?	colision de llegada al nivel: %s?
(怪物 in hero's way)	(monstruo en el camino del heroe)
goto_level: returning to discarded level?	goto_level: ¿volviendo a un nivel descartado?
goto_level: no corresponding portal!	goto_level: ¡no hay portal correspondiente!
fly down %s.	vuela hacia abajo %s.
fall down the %s.	cae por el %s.
arrive at the Valley of the Dead...	llegas al Valle de los Muertos...
groans and moans everywhere.	gemidos y quejidos por todas partes.
enter what seems to be an older, more primitive world.	entras en lo que parece ser un mundo mas antiguo y primitivo.
reviving corpse from non-existent container	reviviendo cadaver de contenedor inexistente
scratching noises.	ruidos de rasgunos.
%s appears.	%s aparece.
notice you have no gold!	¡notas que no tienes oro!
throne effect	efecto del trono
%s can't lay eggs!	¡%s no puede poner huevos!
yearn for the Sargasso Sea.	aniar el Mar de los Sargazos.
tumble in place.	cae dando vueltas en el sitio.
%s has no lap.	%s no tiene regazo.
sit on %s.	se sienta sobre %s.
sit down in the pit.	se sienta en el foso.
sit down on the muddy bottom.	se sienta en el fondo fangoso.
%s!	¡%s!
Fortunately, you are wearing a hard helmet.	Afortunadamente, llevas un casco duro.
%s does not protect you.	%s no te protege.
bc already placed?	¿bc ya colocado?
unplacebc denied, restriction in place	unplacebc denegado, restriccion en vigor
unplacebc_and_covet_placebc denied, already restricted	unplacebc_and_covet_placebc denegado, ya restringido
bc_order:  ball&chain not in same location!	bc_order:  ¡bola y cadena no estan en el mismo lugar!
bad chain movement	movimiento de cadena erroneo
lose your grip on the iron ball.	sueltas la bola de hierro.
%s doesn't need another one.	%s no necesita otro.
touch %s.	toca %s.
put the saddle on %s.	pone la silla sobre %s.
%s resists!	¡%s resiste!
Maybe you should find a designated driver.	Quiza deberias buscar un conductor designado.
%s slips away from you.	%s se te escapa.
slip while trying to get on %s.	resbalas al intentar subir a %s.
mount %s.	monta %s.
%s stirs.	%s se remueve.
%s does not respond.	%s no responde.
dismount %s.	desmonta %s.
seem less noisy now.	parece menos ruidoso ahora.
adjust yourself in the saddle on %s.	te ajustas en la silla sobre %s.
losestr: %d - %d	losestr: %d - %d
seems to be an old save file.	parece ser un archivo de guardado antiguo.
%s %s you.	%s %s te.
catch the %s.	atrapa el %s.
accept %s gift in the spirit in which it was intended.	acepta el regalo de %s con el animo con que fue dado.
%s misfires!	¡%s falla!
%s breathes %s!	¡%s exhala %s!
Breath weapon %d used	Arma de aliento %d usada
angry snakes!	¡serpientes furiosas!
break the bars apart!	¡rompe los barrotes!
rooms[] not closed by -1?	¿rooms[] no cerrado por -1?
dealloc_obj with hands_obj	dealloc_obj con hands_obj
bad horn o' plenty	cuerno de la abundancia erroneo
gm.mydogs sanity [not empty]	gm.mydogs cordura [no vacio]
parts of the floor melting!	¡partes del suelo se derriten!
Mon zapping wand with %d charges?	¿Mon golpeando vara con %d cargas?
No need for unicorn horn?	¿No se necesita el cuerno de unicornio?
%s rummages through %s.	%s rebusca en %s.
%s removes %s.	%s quita %s.
%s welded to your %s%c	%s soldado a tu %s%c
need hands to be able to write!	¡necesitas manos para poder escribir!
%s can't create braille text.	%s no puede crear texto braille.
give up on the idea.	abandona la idea.
tear it up.	lo rompe.
No mere dungeon adventurer could write that.	Nigun mero aventurero de mazmorras podria escribir eso.
finish arming %s.	termina de armar %s.
whip %s!	¡azota a %s!
snatch %s!	¡arrebata %s!
snap your whip through thin air.	chasqueas el latigo en el aire.
miss; there is no one there to hit.	fallas; no hay nadie a quien golpear ahi.
give yourself a facial.	te das un facial.
pull in %s!	¡tira de %s!
hook yourself!	¡te enganchas!
It comes up %s.	Sal %s.
mkcavepos called with dist %d	mkcavepos llamado con dist %d
fall through...	cae a traves...
